                           Name,Observed.Clock.Today,Predicted.Clock.Today,Observed.ExtraVariables.Script.AccumTtemerg,Predicted.ExtraVariables.Script.AccumTtemerg,Observed.Potato.Leaf.Live.Wt,Predicted.Potato.Leaf.Live.Wt,Observed.Potato.Stem.Live.Wt,Predicted.Potato.Stem.Live.Wt,Observed.Potato.Tuber.Live.Wt,Predicted.Potato.Tuber.Live.Wt,Observed.Potato.Stem.Live.N,Predicted.Potato.Stem.Live.N,Observed.Potato.Tuber.Live.N,Predicted.Potato.Tuber.Live.N,Observed.Potato.Leaf.LAI,Predicted.Potato.Leaf.LAI,Observed.Potato.Leaf.SpecificArea,Predicted.Potato.Leaf.SpecificArea,Observed.PotatoHarvestRule.Script.FinalTag,Predicted.PotatoHarvestRule.Script.FinalTag,Observed.Potato.Tuber.LiveFWt,Predicted.Potato.Tuber.LiveFWt
  BaxtersSowing23NovPopulation4,          1999-01-05,           1999-01-05,                                    290.650,                                     290.652,                      88.480,                       86.558,                      66.210,                       56.851,                       47.200,                         0.000,                           ,                       1.702,                            ,                        0.000,                   2.290,                    2.212,                        25892.529,                         25552.561,                                          ,                                           ,                      279.360,                         0.000
  BaxtersSowing23NovPopulation4,          1999-01-18,           1999-01-18,                                    466.870,                                     466.869,                     132.950,                      103.819,                     135.090,                       79.466,                      262.480,                       230.574,                           ,                       3.021,                            ,                        4.244,                   4.420,                    3.257,                        33172.852,                         31373.893,                                          ,                                           ,                     1388.090,                      1525.201
  BaxtersSowing23NovPopulation4,          1999-02-01,           1999-02-01,                                    657.650,                                     657.645,                     162.590,                      102.250,                     233.010,                       87.790,                      507.040,                       531.817,                           ,                       3.684,                            ,                       10.999,                   5.380,                    3.191,                        32893.301,                         31203.187,                                          ,                                           ,                     2584.990,                      2491.785
  BaxtersSowing23NovPopulation4,          1999-02-15,           1999-02-15,                                    853.000,                                     853.001,                     134.480,                       82.320,                     182.620,                       97.033,                      798.760,                       865.076,                           ,                       3.660,                            ,                       16.531,                   4.520,                    2.540,                        33591.129,                         30855.675,                                          ,                                           ,                     3402.310,                      3932.165
  BaxtersSowing23NovPopulation4,          1999-03-01,           1999-03-01,                                   1029.460,                                    1029.457,                      94.550,                       41.256,                     220.610,                      107.639,                     1139.930,                      1068.739,                           ,                       3.546,                            ,                       19.479,                   3.210,                    1.262,                        34000.000,                         30596.725,                                          ,                                           ,                     4991.120,                      4857.905
  BaxtersSowing23NovPopulation4,          1999-03-16,           1999-03-16,                                   1223.220,                                    1223.222,                      54.990,                        5.963,                     219.970,                      109.688,                     1446.400,                      1182.410,                           ,                       3.546,                            ,                       20.706,                   1.870,                    0.182,                        34000.000,                         30570.736,                                          ,                                           ,                     6289.390,                      5374.589
  BaxtersSowing23NovPopulation4,          1999-03-28,           1999-03-28,                                   1378.360,                                    1378.363,                      55.870,                        0.124,                     223.490,                      109.688,                     2093.800,                      1193.344,                           ,                       3.546,                            ,                       20.706,                   1.900,                    0.004,                        34000.000,                         29393.168,                                          ,                                           ,                     8960.520,                      5424.291
  BaxtersSowing23NovPopulation4,          1999-04-27,           1999-04-27,                                   1695.700,                                    1695.701,                            ,                        0.000,                            ,                      109.688,                     1415.110,                      1193.410,                           ,                       3.546,                            ,                       20.706,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                           ,                     5886.000,                      5424.590
   BaxtersSowing2NovPopulation2,          1998-12-21,           1998-12-21,                                    252.260,                                     252.261,                      50.400,                       25.553,                      37.650,                       18.920,                        5.090,                         0.000,                           ,                       0.804,                            ,                        0.000,                   1.330,                    0.680,                        26325.260,                         26603.122,                                          ,                                           ,                       31.310,                         0.000
   BaxtersSowing2NovPopulation2,          1999-01-05,           1999-01-05,                                    449.230,                                     449.234,                     101.110,                       84.659,                      83.350,                       56.328,                      109.840,                       131.050,                           ,                       1.640,                            ,                        1.917,                   2.800,                    2.115,                        27106.039,                         24980.299,                                          ,                                           ,                      643.470,                       873.432
   BaxtersSowing2NovPopulation2,          1999-01-18,           1999-01-18,                                    625.450,                                     625.450,                     131.330,                      102.677,                     140.380,                       77.344,                      172.510,                       355.018,                           ,                       2.325,                            ,                        5.587,                   3.650,                    3.068,                        27762.520,                         29882.328,                                          ,                                           ,                     1786.220,                      1983.205
   BaxtersSowing2NovPopulation2,          1999-02-01,           1999-02-01,                                    816.230,                                     816.227,                     127.060,                       99.221,                     181.200,                       89.272,                      561.940,                       640.542,                           ,                       3.220,                            ,                       12.647,                   3.930,                    2.956,                        30730.740,                         29792.360,                                          ,                                           ,                     2639.460,                      2911.553
   BaxtersSowing2NovPopulation2,          1999-02-15,           1999-02-15,                                   1011.580,                                    1011.582,                     122.090,                       80.891,                     203.200,                      105.771,                      883.180,                       946.325,                           ,                       3.743,                            ,                       18.169,                   3.640,                    2.335,                        29929.570,                         28864.894,                                          ,                                           ,                     3657.640,                      4301.479
   BaxtersSowing2NovPopulation2,          1999-03-01,           1999-03-01,                                   1188.040,                                    1188.039,                      79.020,                       41.923,                     184.370,                      120.214,                     1019.890,                      1123.414,                           ,                       3.976,                            ,                       20.895,                   2.450,                    1.202,                        31000.000,                         28678.704,                                          ,                                           ,                     4394.870,                      5106.425
   BaxtersSowing2NovPopulation2,          1999-03-16,           1999-03-16,                                   1381.800,                                    1381.803,                      31.700,                        7.871,                     126.780,                      130.400,                     1143.600,                      1217.748,                           ,                       4.099,                            ,                       21.920,                   0.980,                    0.223,                        31000.000,                         28324.613,                                          ,                                           ,                     4500.250,                      5535.217
   BaxtersSowing2NovPopulation2,          1999-04-27,           1999-04-27,                                   1854.280,                                    1854.283,                            ,                        0.000,                            ,                      130.400,                     1402.460,                      1233.149,                           ,                       4.099,                            ,                       21.961,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                           ,                     5702.160,                      5605.225
   BaxtersSowing2NovPopulation4,          1998-12-21,           1998-12-21,                                    252.260,                                     252.261,                      71.550,                       50.578,                      46.780,                       35.474,                       11.110,                         0.000,                           ,                       1.537,                            ,                        0.000,                   2.000,                    1.329,                        27943.680,                         26271.625,                                          ,                                           ,                       70.630,                         0.000
   BaxtersSowing2NovPopulation4,          1999-01-05,           1999-01-05,                                    449.230,                                     449.234,                     147.160,                       94.563,                     124.180,                       82.842,                      212.500,                       211.806,                           ,                       3.111,                            ,                        3.811,                   4.440,                    2.900,                        30094.080,                         30670.235,                                          ,                                           ,                     1232.320,                      1411.667
   BaxtersSowing2NovPopulation4,          1999-01-18,           1999-01-18,                                    625.450,                                     625.450,                     134.800,                      114.245,                     167.510,                       99.674,                      361.900,                       454.829,                           ,                       4.020,                            ,                        9.313,                   3.990,                    3.550,                        29466.391,                         31074.508,                                          ,                                           ,                     2183.840,                      2540.768
   BaxtersSowing2NovPopulation4,          1999-02-01,           1999-02-01,                                    816.230,                                     816.227,                     146.920,                      103.765,                     204.160,                      108.915,                      886.340,                       757.526,                           ,                       4.423,                            ,                       15.390,                   4.890,                    3.207,                        33057.449,                         30908.863,                                          ,                                           ,                     4147.760,                      3443.299
   BaxtersSowing2NovPopulation4,          1999-02-15,           1999-02-15,                                   1011.580,                                    1011.582,                      97.340,                       72.467,                     172.360,                      121.562,                      835.040,                      1079.064,                           ,                       3.785,                            ,                       20.291,                   3.250,                    2.243,                        33300.719,                         30955.704,                                          ,                                           ,                     3537.080,                      4904.838
   BaxtersSowing2NovPopulation4,          1999-03-01,           1999-03-01,                                   1188.040,                                    1188.039,                      79.870,                       32.785,                     186.360,                      132.601,                     1370.970,                      1264.357,                           ,                       3.730,                            ,                       23.168,                   2.720,                    1.015,                        34000.000,                         30972.245,                                          ,                                           ,                     5827.340,                      5747.075
   BaxtersSowing2NovPopulation4,          1999-03-16,           1999-03-16,                                   1381.800,                                    1381.803,                      63.030,                        5.548,                     252.120,                      139.754,                     1757.010,                      1354.555,                           ,                       4.241,                            ,                       24.434,                   2.140,                    0.162,                        34000.000,                         29259.265,                                          ,                                           ,                     7314.490,                      6157.067
   BaxtersSowing2NovPopulation4,          1999-04-27,           1999-04-27,                                   1854.280,                                    1854.283,                            ,                        0.000,                            ,                      139.754,                     1469.330,                      1365.788,                           ,                       4.241,                            ,                       24.434,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                           ,                     6147.180,                      6208.127
                   FSPNitrogen0,          2000-06-14,           2000-06-14,                                    173.830,                                     173.825,                            ,                        3.958,                            ,                        2.730,                        0.000,                         0.000,                           ,                       0.148,                            ,                        0.000,                        ,                    0.146,                                 ,                         36794.074,                                          ,                                           ,                             ,                         0.000
                   FSPNitrogen0,          2000-07-10,           2000-07-10,                                    431.180,                                     431.175,                            ,                       18.704,                            ,                       13.137,                       23.230,                        25.484,                           ,                       0.369,                       0.280,                        0.277,                        ,                    0.667,                                 ,                         35644.105,                                          ,                                           ,                      141.200,                       180.794
                   FSPNitrogen0,          2000-08-03,           2000-08-03,                                    650.480,                                     650.475,                            ,                       25.970,                            ,                       14.559,                      130.550,                       107.152,                           ,                       0.198,                       1.450,                        0.859,                        ,                    0.901,                                 ,                         34675.893,                                          ,                                           ,                      719.140,                       650.261
                   FSPNitrogen0,          2000-09-04,           2000-09-04,                                    909.680,                                     909.675,                            ,                       20.785,                            ,                       14.947,                      209.960,                       234.986,                           ,                       0.113,                       2.450,                        1.641,                        ,                    0.708,                                 ,                         34062.490,                                          ,                                           ,                     1053.240,                      1305.481
                   FSPNitrogen0,          2000-10-16,           2000-10-16,                                   1344.380,                                    1344.375,                            ,                        1.642,                            ,                       17.098,                      247.410,                       346.517,                           ,                       0.110,                       3.650,                        2.418,                        ,                    0.050,                                 ,                         30465.735,                                     yield,                                      yield,                     1273.150,                      1925.097
                 FSPNitrogen242,          2000-06-14,           2000-06-14,                                    173.830,                                     173.825,                            ,                        3.958,                            ,                        2.730,                        0.000,                         0.000,                           ,                       0.148,                            ,                        0.000,                        ,                    0.146,                                 ,                         36794.074,                                          ,                                           ,                             ,                         0.000
                 FSPNitrogen242,          2000-07-10,           2000-07-10,                                    431.180,                                     431.175,                            ,                       21.780,                            ,                       16.642,                       18.980,                        26.115,                           ,                       0.797,                       0.380,                        0.586,                        ,                    0.770,                                 ,                         35376.270,                                          ,                                           ,                      133.870,                       185.276
                 FSPNitrogen242,          2000-08-03,           2000-08-03,                                    650.480,                                     650.475,                            ,                       34.221,                            ,                       23.543,                      207.690,                       122.544,                           ,                       1.020,                       3.950,                        2.605,                        ,                    1.170,                                 ,                         34182.419,                                          ,                                           ,                     1335.650,                       743.669
                 FSPNitrogen242,          2000-09-04,           2000-09-04,                                    909.680,                                     909.675,                            ,                       33.327,                            ,                       34.233,                      454.990,                       346.805,                           ,                       1.239,                       8.290,                        6.732,                        ,                    1.100,                                 ,                         32997.600,                                          ,                                           ,                     2612.650,                      1926.697
                 FSPNitrogen242,          2000-10-16,           2000-10-16,                                   1344.380,                                    1344.375,                            ,                        6.801,                            ,                       55.778,                      512.780,                       610.779,                           ,                       1.738,                      10.480,                       10.804,                        ,                    0.195,                                 ,                         28672.739,                                     yield,                                      yield,                     2848.770,                      3393.216
                 FSPNitrogen350,          2000-06-14,           2000-06-14,                                    173.830,                                     173.825,                            ,                        3.958,                            ,                        2.730,                        0.000,                         0.000,                           ,                       0.148,                            ,                        0.000,                        ,                    0.146,                                 ,                         36794.074,                                          ,                                           ,                             ,                         0.000
